Year,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN
04/04/2010,20.55,26.48,5.93,38.94,0,4.75,1.18
05/04/2010,20.73,27.41,6.69,43.56,0,5.38,0.63
06/04/2010,19,26.3,7.3,43.81,0,6.66,2.34
07/04/2010,20.58,26.05,5.47,47.56,0,5.84,2.05
08/04/2010,21.98,26.98,5.01,46.06,0,4.79,0.8
09/04/2010,13.21,21.73,8.52,63.69,0,5.51,0.25
10/04/2010,17.87,25.03,7.16,65.75,0.01,6.34,0.74
11/04/2010,17.86,25.69,7.83,57.44,0,5.72,1.55
12/04/2010,19.56,25.81,6.25,47.88,0,5.93,0.6
13/04/2010,22.18,25.6,3.42,49.38,0,3.66,0.51
14/04/2010,19.47,26.11,6.64,47.81,0,4.78,0.39
15/04/2010,20.3,25.41,5.12,48.19,0,2.41,0.57
16/04/2010,20.44,27.02,6.58,51.31,0.13,2.67,0.87
17/04/2010,16.16,25.64,9.48,56.19,0.05,4.77,0.74
18/04/2010,17.88,26.56,8.68,57.25,0.02,2,0.33
19/04/2010,16.85,25.06,8.21,54.94,0,6.45,1.45
20/04/2010,20.23,25.23,4.99,55.38,0,5.43,0.59
21/04/2010,18.1,23.79,5.69,51.81,0,6.35,1.85
22/04/2010,17.88,23.79,5.9,51.44,0,9.2,2.82
23/04/2010,13.3,19.15,5.86,62.69,0,8.55,2.84
24/04/2010,21.43,24.55,3.12,42.5,0,6.88,2.05
25/04/2010,21.6,25.62,4.02,29.94,0,4.66,0.3
26/04/2010,20.43,26.18,5.75,29.81,0,3.67,1.11
27/04/2010,18.82,24.22,5.4,42.25,0,5.56,2.15
28/04/2010,23.06,27.34,4.28,48.06,0,3.3,0.51
29/04/2010,21.62,25.26,3.63,52.31,0,6.57,2.32
30/04/2010,21.44,23.26,1.82,52.56,0.01,7.91,3.18
01/05/2010,14.01,18.22,4.22,69.12,0.28,9.02,3.75
02/05/2010,23.44,26.12,2.68,44.06,0.01,3.23,0.53
03/05/2010,24.06,30.02,5.96,29.94,0,4.49,1.5
04/05/2010,25.86,31.37,5.52,30.69,0,3.18,1.73
05/05/2010,22.25,32.22,9.97,30.69,0,2.74,1.11
06/05/2010,23.65,32.91,9.26,37.88,0,4.92,1.48
07/05/2010,23.23,33.53,10.3,35.19,0,3.38,0.69
08/05/2010,21.22,33.03,11.82,37.25,0.92,4.6,1.06
09/05/2010,18.41,30.65,12.26,50.31,0.02,4.95,0.99
10/05/2010,20.22,31.37,11.15,41,0,3.86,0.91
11/05/2010,19.55,31.53,11.98,37,0,5.21,0.43
12/05/2010,18.04,29.62,11.58,38.12,0,5.73,1.24
13/05/2010,18.41,29.12,10.71,35.25,0,6.42,1.01
14/05/2010,20.81,29.76,8.94,33.56,0,5.73,1.61
15/05/2010,19.8,29.02,9.21,36.75,0,4.48,0.66
16/05/2010,19.18,28.76,9.58,34.19,0,4.74,0.52
17/05/2010,17.98,28.35,10.37,27.5,0,2.45,0.77
18/05/2010,21.92,30.23,8.3,36.88,0,3.84,1.72
19/05/2010,22.67,31.9,9.22,29.5,0,5.35,1.91
20/05/2010,23,32.05,9.05,27.44,0,5.23,0.57
21/05/2010,19.73,30.89,11.15,32.56,0,5.62,0.64
22/05/2010,19.98,30.58,10.61,33.62,0,5.6,0.84
23/05/2010,20.7,29.37,8.67,34.94,0,5.91,1.62
24/05/2010,21.11,29.26,8.15,30.94,0,6,1.62
25/05/2010,20.73,29.8,9.07,31,0,4.1,1.48
26/05/2010,21.5,30.24,8.74,27.5,0,4.16,0.94
27/05/2010,21.28,30.33,9.05,28.69,0,4.48,0.59
28/05/2010,21.05,29.86,8.81,33.56,0.14,4.62,0.48
29/05/2010,21.79,31.37,9.58,46.38,0,5.24,0.45
30/05/2010,20.19,29.8,9.61,50.62,0,2.7,0.36
31/05/2010,19.21,31.33,12.12,46.69,2.7,2.7,1.21
01/06/2010,20.23,31.53,11.3,54.5,0.12,5.2,1.23
02/06/2010,20.52,30.57,10.05,52.56,0,5,1.05
03/06/2010,20.87,31.15,10.28,47.81,0,2,0.29
04/06/2010,20.63,33.09,12.46,37.69,0,2.67,0.11
05/06/2010,19.44,34.01,14.57,28.81,0,3.09,0.12
06/06/2010,18.48,34.76,16.3,24.44,0.04,5.56,0.68
07/06/2010,17.73,31.98,14.25,50.44,6.34,3.2,0.12
08/06/2010,13.03,26.49,13.46,58.25,0.81,2.95,0.71
09/06/2010,17.66,31.47,13.8,46.12,0.13,2.41,0.84
10/06/2010,18.98,31.34,12.37,54.31,0.38,5.8,1.23
11/06/2010,20.25,31.8,11.55,50.69,0.06,5.13,0.52
12/06/2010,20.54,32.19,11.65,45.69,0,3.96,1.36
13/06/2010,18.23,30.76,12.51,54.69,1.4,2.87,0.82
14/06/2010,18.97,31.56,12.6,52,3.12,3.05,0.88
15/06/2010,17.74,30.3,12.55,56.38,1.26,3.4,0.04
